verilog/v_hier_subprim.v:008: MODULE  'primitive' 'v_hier_prim' undef '0'
verilog/v_hier_subprim.v:010: PORT  'q' 'module' '' '' '' '1'
verilog/v_hier_subprim.v:012: PORT  'a' 'module' '' '' '' '2'
verilog/v_hier_subprim.v:014: VAR  'port' 'q' 'module' '' '' '' ''
verilog/v_hier_subprim.v:014: PORT  'q' 'module' 'output' '' '' '0'
verilog/v_hier_subprim.v:015: VAR  'port' 'a' 'module' '' '' '' ''
verilog/v_hier_subprim.v:015: PORT  'a' 'module' 'input' '' '' '0'
verilog/v_hier_subprim.v:022: ENDMODULE  'endprimitive'
verilog/v_hier_subprim.v:025: MODULE  'module' 'bug27070' undef '1'
verilog/v_hier_subprim.v:027: VAR  'parameter' 'TAP' 'module' '' '' '' '4'b1001'
verilog/v_hier_subprim.v:028: ENDMODULE  'endmodule'
verilog/v_hier_sub.v:006: MODULE  'module' 'v_hier_sub' undef '0'
verilog/v_hier_sub.v:007: VAR  'port' 'clk' 'module' '' '' '' ''
verilog/v_hier_sub.v:007: PORT  'clk' 'module' 'input' '' '' '1'
verilog/v_hier_sub.v:008: VAR  'port' 'avec' 'module' '' '[3:0]' '' ''
verilog/v_hier_sub.v:008: PORT  'avec' 'module' 'input' '[3:0]' '' '2'
verilog/v_hier_sub.v:009: VAR  'port' 'qvec' 'module' '' '[3:0]' '' ''
verilog/v_hier_sub.v:009: PORT  'qvec' 'module' 'output' '[3:0]' '' '3'
verilog/v_hier_sub.v:012: VAR  'net' 'a1' 'module' 'supply1' '' '' ''
verilog/v_hier_sub.v:017: INSTANT  'v_hier_subsub' 'subsub0' ''
verilog/v_hier_sub.v:015: PARAMPIN  'IGNORED' ''sh20' '1'
verilog/v_hier_sub.v:019: PIN  'q' 'qvec[0]' '1'
verilog/v_hier_sub.v:021: PIN  'a' 'a1' '2'
verilog/v_hier_sub.v:021: ENDCELL  ''
verilog/v_hier_sub.v:025: VAR  'genvar' 'K' 'module' '' '' '' ''
verilog/v_hier_sub.v:025: VAR  'genvar' 'K_UNUSED' 'module' '' '' '' ''
verilog/v_hier_sub.v:028: INSTANT  'v_hier_subsub' 'subsub2' ''
verilog/v_hier_sub.v:028: PIN  '' 'qvec[2]' '1'
verilog/v_hier_sub.v:028: PIN  '' '1'b0' '2'
verilog/v_hier_sub.v:028: ENDCELL  ''
verilog/v_hier_sub.v:032: FUNCTION  'function' 'foo' ''
verilog/v_hier_sub.v:033: ATTRIBUTE  '(* attribute *)'
verilog/v_hier_sub.v:034: ATTRIBUTE  'synopsys metacommenttest'
verilog/v_hier_sub.v:035: VAR  'port' 'not_part_of_pinlist' 'function' '' '' '' ''
verilog/v_hier_sub.v:035: PORT  'not_part_of_pinlist' 'function' 'input' '' '' '0'
verilog/v_hier_sub.v:037: ENDTASKFUNC  'endfunction'
verilog/v_hier_sub.v:039: ENDMODULE  'endmodule'
verilog/parser_bugs.v:005: MODULE  'module' 'bug26141' undef '0'
